Generation,Best Fitness
0,5127
1,5149
2,5148
3,5178
4,5206
5,5208
6,5224
7,5249
8,5256
9,5291
10,5297
11,5312
12,5319
13,5324
14,5338
15,5335
16,5353
17,5356
18,5373
19,5383
20,5385
21,5395
22,5399
23,5411
24,5428
25,5426
26,5435
27,5446
28,5449
29,5451
30,5457
31,5463
32,5466
33,5471
34,5478
35,5483
36,5486
37,5490
38,5491
39,5493
40,5497
41,5500
42,5502
43,5506
44,5505
45,5507
46,5509
47,5512
48,5513
49,5515
50,5518
51,5519
52,5522
53,5523
54,5528
55,5529
56,5530
57,5533
58,5536
59,5539
60,5543
61,5546
62,5548
63,5549
64,5550
65,5553
66,5554
67,5556
68,5558
69,5561
70,5561
71,5564
72,5564
73,5566
74,5571
75,5573
76,5573
77,5576
78,5580
79,5582
80,5583
81,5584
82,5587
83,5589
84,5591
85,5595
86,5596
87,5599
88,5600
89,5602
90,5605
91,5607
92,5608
93,5610
94,5611
95,5613
96,5616
97,5621
98,5624
99,5626
100,5628
101,5630
102,5633
103,5635
104,5636
105,5638
106,5642
107,5644
108,5646
109,5647
110,5652
111,5653
112,5653
113,5656
114,5659
115,5665
116,5667
117,5669
118,5672
119,5673
120,5674
121,5675
122,5677
123,5680
124,5681
125,5687
126,5685
127,5688
128,5689
129,5694
130,5694
131,5697
132,5700
133,5705
134,5707
135,5710
136,5711
137,5712
138,5713
139,5718
140,5717
141,5719
142,5719
143,5722
144,5726
145,5729
146,5730
147,5731
148,5735
149,5736
150,5737
151,5739
152,5741
153,5744
154,5743
155,5746
156,5750
157,5751
158,5753
159,5753
160,5755
161,5757
162,5760
163,5766
164,5765
165,5766
166,5769
167,5770
168,5772
169,5773
170,5775
171,5777
172,5778
173,5782
174,5784
175,5787
176,5789
177,5790
178,5790
179,5794
180,5795
181,5801
182,5799
183,5802
184,5805
185,5806
186,5808
187,5809
188,5812
189,5815
190,5816
191,5819
192,5821
193,5823
194,5824
195,5826
196,5829
197,5831
198,5833
199,5836
200,5837
201,5839
202,5844
203,5844
204,5850
205,5850
206,5851
207,5855
208,5859
209,5859
210,5859
211,5863
212,5863
213,5866
214,5868
215,5870
216,5872
217,5874
218,5878
219,5879
220,5883
221,5885
222,5886
223,5889
224,5891
225,5891
226,5895
227,5895
228,5897
229,5902
230,5903
231,5907
232,5909
233,5912
234,5914
235,5914
236,5919
237,5919
238,5922
239,5922
240,5925
241,5927
242,5927
243,5931
244,5932
245,5932
246,5935
247,5937
248,5942
249,5941
250,5943
251,5946
252,5949
253,5951
254,5952
255,5955
256,5957
257,5960
258,5959
259,5963
260,5965
261,5968
262,5968
263,5974
264,5978
265,5978
266,5978
267,5980
268,5982
269,5985
270,5987
271,5987
272,5989
273,5992
274,5993
275,5997
276,6002
277,5999
278,6001
279,6005
280,6007
281,6008
282,6009
283,6013
284,6015
285,6018
286,6018
287,6020
288,6023
289,6025
290,6026
291,6027
292,6031
293,6032
294,6035
295,6039
296,6038
297,6040
298,6044
299,6045
300,6047
301,6049
302,6051
303,6053
304,6054
305,6057
306,6058
307,6062
308,6063
309,6066
310,6069
311,6072
312,6071
313,6073
314,6076
315,6078
316,6079
317,6080
318,6083
319,6085
320,6087
321,6090
322,6092
323,6094
324,6096
325,6098
326,6100
327,6104
328,6105
329,6106
330,6109
331,6111
332,6116
333,6117
334,6120
335,6122
336,6125
337,6129
338,6130
339,6132
340,6133
341,6135
342,6136
343,6138
344,6141
345,6143
346,6145
347,6146
348,6147
349,6151
350,6152
351,6155
352,6159
353,6161
354,6161
355,6162
356,6166
357,6167
358,6171
359,6172
360,6173
361,6174
362,6177
363,6179
364,6182
365,6183
366,6185
367,6187
368,6189
369,6189
370,6193
371,6193
372,6197
373,6198
374,6204
375,6204
376,6206
377,6208
378,6210
379,6212
380,6213
381,6218
382,6218
383,6221
384,6221
385,6223
386,6226
387,6227
388,6230
389,6231
390,6233
391,6234
392,6241
393,6241
394,6242
395,6242
396,6244
397,6246
398,6249
399,6250
400,6251
401,6251
402,6253
403,6256
404,6258
405,6261
406,6262
407,6263
408,6265
409,6268
410,6268
411,6270
412,6273
413,6274
414,6276
415,6277
416,6281
417,6284
418,6285
419,6288
420,6288
421,6292
422,6294
423,6296
424,6300
425,6300
426,6302
427,6304
428,6306
429,6308
430,6308
431,6312
432,6313
433,6315
434,6318
435,6319
436,6320
437,6321
438,6323
439,6325
440,6327
441,6332
442,6332
443,6332
444,6335
445,6338
446,6341
447,6342
448,6343
449,6346
450,6348
451,6350
452,6351
453,6354
454,6357
455,6359
456,6362
457,6362
458,6364
459,6365
460,6365
461,6367
462,6369
463,6372
464,6373
465,6376
466,6376
467,6378
468,6379
469,6381
470,6385
471,6385
472,6387
473,6387
474,6390
475,6394
476,6395
477,6397
478,6400
479,6401
480,6403
481,6405
482,6407
483,6409
484,6410
485,6411
486,6414
487,6414
488,6419
489,6420
490,6422
491,6424
492,6427
493,6428
494,6429
495,6430
496,6433
497,6434
498,6437
499,6439
500,6442
501,6444
502,6445
503,6446
504,6448
505,6449
506,6450
507,6451
508,6455
509,6456
510,6457
511,6459
512,6461
513,6461
514,6464
515,6466
516,6472
517,6470
518,6473
519,6475
520,6476
521,6477
522,6483
523,6483
524,6484
525,6484
526,6485
527,6487
528,6490
529,6493
530,6495
531,6496
532,6499
533,6504
534,6502
535,6503
536,6506
537,6506
538,6510
539,6512
540,6514
541,6515
542,6517
543,6518
544,6520
545,6521
