1631023273
Generation,Best Fitness
0,547
1,561
2,562
3,569
4,571
5,585
6,588
7,589
8,600
9,610
10,613
11,620
12,621
13,626
14,630
15,637
16,643
17,648
18,649
19,652
20,655
21,654
22,658
23,662
24,662
25,666
26,667
27,673
28,675
29,676
30,677
31,680
32,681
33,682
34,682
35,684
36,686
37,688
38,690
39,693
40,694
41,695
42,696
43,698
44,699
45,701
46,704
47,705
48,709
49,710
50,712
51,712
52,715
53,718
54,722
55,720
56,723
57,723
58,725
59,727
60,728
61,729
62,730
63,732
64,733
65,734
66,735
67,736
68,740
69,741
70,742
71,748
72,748
73,749
74,751
75,752
76,752
77,754
78,755
79,756
80,757
81,760
82,761
83,763
84,763
85,765
86,767
87,768
88,770
89,770
90,772
91,773
92,776
93,775
94,778
95,776
96,779
97,779
98,780
99,781
100,782
101,783
102,784
103,785
104,785
105,786
106,788
107,790
108,791
109,792
110,796
111,797
112,800
113,801
114,803
115,802
116,802
117,806
118,805
119,807
120,808
121,810
122,810
123,810
124,813
125,812
126,815
127,815
128,816
129,819
130,818
131,820
132,821
133,823
134,823
135,825
136,825
137,825
138,827
139,829
140,829
141,831
142,831
143,833
144,834
145,837
146,837
147,839
148,841
149,842
150,842
151,843
152,844
153,846
154,847
155,848
156,848
157,851
158,851
159,854
160,854
161,855
162,855
163,857
164,858
165,859
166,861
167,861
168,864
169,865
170,866
171,869
172,869
173,870
174,872
175,872
176,875
177,877
178,875
179,876
180,878
181,879
182,878
183,880
184,880
185,881
186,883
187,883
188,883
189,884
190,885
191,887
192,887
193,887
194,889
195,891
196,892
197,892
198,892
199,892
200,894
201,895
202,896
203,897
204,899
205,899
206,901
207,902
208,904
209,904
210,905
211,906
212,907
213,911
214,910
215,911
216,913
217,913
218,918
219,918
220,918
221,918
222,918
223,919
224,921
225,921
226,922
227,922
228,923
229,923
230,925
231,926
232,926
233,927
234,928
235,927
236,929
237,929
238,929
239,931
240,931
241,932
242,932
243,933
244,934
245,935
246,935
247,936
248,937
249,939
250,938
251,938
252,940
253,941
254,941
255,942
256,943
257,943
258,945
259,945
260,947
261,946
262,947
263,949
264,950
265,951
266,950
267,951
268,951
269,953
270,952
271,953
272,953
273,954
274,955
275,955
276,958
277,959
278,958
279,958
280,960
281,960
282,960
283,961
284,961
285,962
286,963
287,963
288,965
289,966
290,964
291,967
292,967
293,967
294,967
295,968
296,968
297,968
298,969
299,970
300,970
301,971
302,972
303,973
304,973
305,974
306,974
307,974
308,974
309,974
310,976
311,976
312,976
313,978
314,978
315,980
316,980
317,981
318,981
319,981
320,981
321,983
322,984
323,984
324,985
325,985
326,984
327,985
328,987
329,987
330,987
331,988
332,987
333,988
334,988
335,988
336,988
337,989
338,990
339,990
340,990
341,991
342,992
343,992
344,993
345,993
346,993
347,993
348,994
349,994
350,995
351,995
352,996
353,996
354,997
355,997
356,998
357,998
358,998
359,998
360,1000
361,1000
362,1001
363,1000
364,1001
365,1001
366,1001
367,1003
368,1002
369,1002
370,1004
371,1004
372,1004
373,1004
374,1004
375,1005
376,1005
377,1006
378,1007
379,1007
380,1008
381,1008
382,1008
383,1008
384,1009
385,1009
386,1009
387,1009
388,1009
389,1012
390,1012
391,1012
392,1012
393,1012
394,1012
395,1012
396,1013
397,1012
398,1013
399,1013
400,1014
401,1014
402,1013
403,1014
404,1014
405,1014
406,1014
407,1014
408,1015
409,1015
410,1015
411,1015
412,1016
413,1016
414,1016
415,1017
416,1018
417,1018
418,1018
419,1018
420,1018
421,1018
422,1018
423,1018
424,1018
425,1019
426,1018
427,1018
428,1018
429,1019
430,1019
431,1019
432,1019
433,1019
434,1019
435,1019
436,1019
437,1019
438,1019
439,1019
440,1020
441,1020
442,1019
443,1019
444,1020
445,1020
446,1020
447,1021
448,1021
449,1021
450,1020
451,1021
452,1021
453,1021
454,1021
455,1021
456,1021
457,1021
458,1021
459,1021
460,1021
461,1022
462,1021
463,1021
464,1022
465,1022
466,1022
467,1022
468,1022
469,1022
470,1022
471,1022
472,1022
473,1022
474,1022
475,1022
476,1022
477,1022
478,1023
479,1023
480,1023
481,1023
482,1023
483,1024
695050
