1631023493
Generation,Best Fitness
0,542
1,554
2,566
3,575
4,579
5,582
6,588
7,587
8,600
9,603
10,608
11,611
12,614
13,614
14,614
15,617
16,621
17,623
18,624
19,627
20,627
21,628
22,632
23,633
24,634
25,637
26,640
27,641
28,646
29,647
30,649
31,649
32,651
33,655
34,655
35,659
36,659
37,662
38,666
39,667
40,671
41,670
42,671
43,675
44,675
45,681
46,678
47,682
48,681
49,684
50,686
51,689
52,693
53,693
54,696
55,696
56,698
57,699
58,701
59,702
60,705
61,707
62,708
63,712
64,714
65,715
66,716
67,718
68,719
69,720
70,721
71,721
72,722
73,726
74,727
75,727
76,731
77,729
78,731
79,732
80,735
81,737
82,738
83,739
84,739
85,741
86,741
87,744
88,746
89,748
90,750
91,752
92,754
93,756
94,756
95,760
96,762
97,762
98,764
99,765
100,769
101,770
102,771
103,774
104,775
105,777
106,778
107,783
108,783
109,784
110,784
111,785
112,786
113,788
114,789
115,790
116,791
117,795
118,796
119,796
120,798
121,799
122,799
123,800
124,802
125,802
126,804
127,805
128,806
129,806
130,808
131,809
132,810
133,811
134,812
135,814
136,815
137,816
138,817
139,817
140,819
141,821
142,822
143,823
144,824
145,826
146,827
147,827
148,831
149,832
150,835
151,834
152,836
153,839
154,839
155,840
156,841
157,842
158,843
159,845
160,847
161,847
162,849
163,849
164,850
165,851
166,852
167,852
168,855
169,857
170,858
171,859
172,859
173,859
174,862
175,863
176,865
177,866
178,866
179,867
180,871
181,870
182,871
183,873
184,874
185,875
186,876
187,879
188,881
189,880
190,881
191,883
192,883
193,886
194,885
195,886
196,887
197,888
198,889
199,891
200,891
201,892
202,893
203,893
204,894
205,895
206,896
207,896
208,897
209,898
210,899
211,900
212,903
213,903
214,903
215,904
216,904
217,905
218,906
219,906
220,908
221,908
222,909
223,911
224,910
225,912
226,913
227,913
228,915
229,915
230,917
231,917
232,917
233,918
234,920
235,919
236,920
237,921
238,922
239,925
240,923
241,925
242,925
243,925
244,926
245,927
246,928
247,928
248,929
249,930
250,929
251,931
252,930
253,933
254,934
255,935
256,935
257,936
258,937
259,937
260,938
261,940
262,939
263,941
264,941
265,942
266,943
267,943
268,946
269,945
270,947
271,949
272,949
273,948
274,950
275,952
276,953
277,953
278,953
279,953
280,954
281,954
282,956
283,956
284,958
285,957
286,957
287,957
288,959
289,959
290,961
291,962
292,962
293,963
294,963
295,965
296,964
297,965
298,966
299,968
300,967
301,967
302,969
303,969
304,969
305,970
306,970
307,971
308,971
309,973
310,972
311,974
312,974
313,974
314,976
315,976
316,976
317,977
318,978
319,978
320,978
321,979
322,980
323,980
324,980
325,981
326,981
327,982
328,982
329,982
330,982
331,983
332,983
333,984
334,986
335,985
336,985
337,986
338,986
339,987
340,987
341,988
342,988
343,988
344,989
345,988
346,989
347,990
348,991
349,991
350,992
351,992
352,992
353,992
354,993
355,993
356,993
357,993
358,994
359,994
360,994
361,994
362,995
363,995
364,995
365,995
366,996
367,996
368,996
369,999
370,999
371,999
372,999
373,1000
374,1001
375,1001
376,1002
377,1002
378,1002
379,1002
380,1003
381,1003
382,1004
383,1004
384,1004
385,1005
386,1004
387,1005
388,1005
389,1005
390,1006
391,1006
392,1006
393,1006
394,1007
395,1007
396,1008
397,1009
398,1009
399,1008
400,1009
401,1009
402,1009
403,1009
404,1010
405,1010
406,1011
407,1011
408,1011
409,1011
410,1012
411,1012
412,1011
413,1012
414,1012
415,1012
416,1013
417,1013
418,1013
419,1014
420,1014
421,1014
422,1014
423,1015
424,1015
425,1017
426,1016
427,1017
428,1017
429,1017
430,1018
431,1018
432,1018
433,1018
434,1018
435,1018
436,1018
437,1018
438,1019
439,1018
440,1018
441,1019
442,1019
443,1019
444,1020
445,1019
446,1020
447,1021
448,1021
449,1021
450,1021
451,1021
452,1021
453,1022
454,1022
455,1022
456,1022
457,1022
458,1022
459,1022
460,1022
461,1022
462,1022
463,1022
464,1022
465,1022
466,1022
467,1022
468,1022
469,1022
470,1022
471,1022
472,1022
473,1022
474,1022
475,1022
476,1022
477,1022
478,1022
479,1022
480,1022
481,1022
482,1022
483,1022
484,1022
485,1022
486,1023
487,1023
488,1023
489,1023
490,1023
491,1023
492,1023
493,1023
494,1023
495,1023
496,1023
497,1023
498,1023
499,1023
500,1024
735682
